"schoolid";"program%.engineering_technology";"demographics.ethn.non_resident_alien";"program%.english";"program%.resources";"demographics.ethn.black";"program%.social_science";"program%.philosophy_religious";"demographics.ethn.asian";"program%.humanities";"demographics.ethn.white";"attendance.academic_year";"tuition.out_of_state";"program%.ethnic_cultural_gender";"aid.federal_loan_rate";"program%.public_administration_social_service";"act_scores.midpoint.writing";"school.name";"demographics.ethn.two_or_more";"size";"grad_students";"program%.computer";"program%.engineering";"act_scores.midpoint.cumulative";"program%.biological";"program%.communication";"aid.loan_principal";"sat_scores.average.overall";"net_price.private.by_income_level.75001-110000";"act_scores.midpoint.english";"program%.communications_technology";"program%.mechanic_repair_technology";"aid.median_debt.income.30001_75000";"aid.median_debt.completers.overall";"program%.business_marketing";"program%.physical_science";"program%.library";"tuition.in_state";"program%.history";"program%.military";"net_price.private.by_income_level.110001-plus";"demographics.ethn.nhpi";"program%.mathematics";"program%.science_technology";"program%.transportation";"program%.legal";"program%.construction";"share_25_older";"aid.median_debt.income.greater_than_75000";"program%.architecture";"program%.psychology";"demographics.age_entry";"sat_scores.midpoint.writing";"program%.multidiscipline";"sat_scores.midpoint.math";"net_price.private.by_income_level.48001-75000";"program%.parks_recreation_fitness";"demographics.median_family_income";"demographics.female_share";"act_scores.midpoint.math";"program%.health";"aid.median_debt.noncompleters";"program%.education";"program%.security_law_enforcement";"program%.theology_religious_vocation";"program%.language";"program%.visual_performing";"aid.median_debt.income.0_30000";"avg_net_price.private";"net_price.private.by_income_level.30001-48000";"school.ft_faculty_rate";"demographics.ethn.aian";"demographics.ethn.hispanic";"program%.precision_production";"sat_scores.midpoint.critical_reading";"admission_rate.overall";"program%.agriculture";"demographics.ethn.unknown";"net_price.private.by_income_level.0-30000";"program%.family_consumer_science";"demographics.avg_family_income";"program%.personal_culinary";"school.faculty_salary";"aid.students_with_any_loan";"avg_net_price.public";"avg_net_price.program_year";"avg_net_price.other_academic_year";"net_price.public.by_income_level.0-30000";"net_price.public.by_income_level.30001-48000";"net_price.public.by_income_level.48001-75000";"net_price.public.by_income_level.75001-110000";"net_price.public.by_income_level.110001-plus";"attendance.program_year";"tuition.program_year"
176080;0.0167;0.0126;0.0097;0.0209;0.2019;0.0427;0.0042;0.0125;0.0006;0.7221;22818;20900;0.0;0.4887;0.0139;0.0;"Mississippi State University";0.0161;17371;3532.0;0.0151;0.1511;25.0;0.0533;0.0491;14653.0;1125.0;0.0;26.0;0.0;0.0;14534.5;23000.0;0.1687;0.0397;0.0;7780;0.01;0.0;0.0;0.0007;0.0064;0.0;0.0;0.0;0.0;0.0952;14286.0;0.0161;0.0488;21;0.0;0.0648;0.0;0.0;0.0821;38988;0.5395308427;23.0;0.0094;8500.0;0.0769;0.0;0.0;0.0079;0.0142;14950.5;0.0;0.0;0.8743;0.0044;0.0265;0.0;0.0;0.5567;0.0572;0.0032;0.0;0.0203;60272;0.0003;8431;0.8569359977;15656.0;"";"";13245.0;13684.0;18109.0;19494.0;19121.0;"";""
178396;0.0;0.0372;0.0151;0.0105;0.0777;0.0501;0.0048;0.0232;0.0145;0.785;23962;25892;0.0148;0.4351;0.008;0.0;"University of Missouri-Columbia";0.031;25544;7362.0;0.0245;0.0874;26.0;0.0528;0.1165;17841.0;1183.0;0.0;27.0;0.0;0.0;19000.0;22000.0;0.1534;0.0148;0.0;9518;0.0111;0.0;0.0;0.0004;0.0094;0.0;0.0;0.0;0.0;0.0338;17500.0;0.0;0.0431;20;0.0;0.0255;585.0;0.0;0.021;76951;0.5432424917;25.0;0.1432;9255.5;0.0511;0.0;0.0;0.0148;0.018;17500.0;0.0;0.0;0.7315;0.002;0.0375;0.0;570.0;0.747;0.0506;0.006;0.0;0.0449;96072;0.0;9095;0.8918242492;17157.0;"";"";12060.0;12746.0;15203.0;19545.0;21444.0;"";""
178402;0.0;0.045;0.02;0.016;0.1457;0.0389;0.0069;0.0762;0.099;0.57;21575;18886;0.0;0.3939;0.0;0.0;"University of Missouri-Kansas City";0.0359;7904;5232.0;0.0343;0.059;25.0;0.0498;0.0532;15000.0;1126.0;0.0;24.0;0.0;0.0;15500.0;21000.0;0.1757;0.0612;0.0;7846;0.0143;0.0;0.0;0.0016;0.0114;0.0;0.0;0.0;0.0;0.1977;13000.0;0.0029;0.0544;23;0.0;0.0;560.0;0.0;0.0;37544;0.6063576159;25.0;0.1717;9500.0;0.0458;0.0303;0.0;0.012;0.0429;16213.0;0.0;0.0;0.6075;0.0032;0.0872;0.0;580.0;0.6187;0.0;0.0352;0.0;0.0;57335;0.0;8826;0.8362913907;15764.0;"";"";13543.0;14168.0;15420.0;18283.0;18637.0;"";""
179566;0.0056;0.0428;0.0202;0.0036;0.0469;0.0811;0.0046;0.0138;0.0096;0.8124;20296;14110;0.0;0.4888;0.0132;0.0;"Missouri State University-Springfield";0.0363;17277;3222.0;0.0222;0.0003;24.0;0.049;0.0536;14750.0;1090.0;0.0;25.0;0.0;0.0;14935.0;22424.0;0.2886;0.0165;0.0;7060;0.0046;0.0003;0.0;0.0009;0.0066;0.0;0.0;0.0;0.0;0.1258;14080.5;0.001;0.0625;21;0.0;0.0106;552.0;0.0;0.0407;48636;0.6103059581;23.0;0.0589;8750.0;0.1294;0.0;0.0;0.0053;0.0414;15000.0;0.0;0.0;0.6725;0.0047;0.0347;0.0;540.0;0.8438;0.0387;0.0075;0.0;0.0318;63829;0.0;7442;0.8586956522;15687.0;"";"";12114.0;12549.0;15233.0;17372.0;18099.0;"";""
180179;0.0396;0.0235;0.0111;0.0025;0.0127;0.0124;0.0;0.0088;0.0989;0.8117;16142;18216;0.0;0.4553;0.0;0.0;"Montana State University-Billings";0.0288;3536;394.0;0.0173;0.0;0.0;0.0136;0.0309;9250.0;0.0;0.0;0.0;0.0;0.0358;9000.0;17955.0;0.225;0.0025;0.0;5826;0.0074;0.0;0.0;0.0025;0.0012;0.0;0.0;0.0;0.0049;0.4055;7500.0;0.0;0.0655;25;0.0;0.0309;0.0;0.0;0.0383;34882;0.6325995807;0.0;0.1619;7635.0;0.1174;0.0334;0.0;0.0037;0.0161;10000.0;0.0;0.0;0.4922;0.0441;0.0566;0.0297;0.0;0.0;0.0;0.0113;0.0;0.0;50676;0.0;6646;0.821278826;13827.0;"";"";11418.0;12399.0;14913.0;16054.0;16142.0;"";""
180461;0.0424;0.0331;0.0204;0.0112;0.0066;0.0532;0.0025;0.0094;0.0403;0.8424;19441;23186;0.0;0.4238;0.0;0.0;"Montana State University";0.0375;14149;2019.0;0.0229;0.1487;25.0;0.0719;0.0;13000.0;1126.0;0.0;24.0;0.0;0.0;13500.0;23505.0;0.0993;0.0312;0.0;6887;0.0145;0.0;0.0;0.0013;0.0096;0.0;0.0037;0.0;0.0;0.1387;11062.0;0.0233;0.0332;21;550.0;0.0091;570.0;0.0;0.0;56045;0.4928072339;25.0;0.1018;8000.0;0.0582;0.0;0.0;0.0108;0.0619;15160.0;0.0;0.0;0.6189;0.015;0.0388;0.0091;560.0;0.8287;0.0328;0.0159;0.0;0.0881;73865;0.0;8470;0.8795725442;17050.0;"";"";13920.0;14863.0;17234.0;19210.0;19441.0;"";""
181394;0.0;0.037;0.02;0.0082;0.0608;0.0518;0.0045;0.0354;0.0375;0.6736;17712;19124;0.0037;0.4076;0.0163;7.0;"University of Nebraska at Omaha";0.0447;12333;3091.0;0.0681;0.0;23.0;0.0498;0.0379;12354.0;1050.0;0.0;22.0;0.0;0.0;12500.0;19500.0;0.2716;0.0049;0.0041;7204;0.0184;0.0;0.0;0.0013;0.0077;0.0;0.0102;0.0008;0.0;0.2227;12000.0;0.0;0.0542;22;498.0;0.0277;545.0;0.0;0.0249;46908;0.5608272506;21.0;0.0281;8250.0;0.0946;0.0971;0.0;0.0114;0.0465;12500.0;0.0;0.0;0.5046;0.0024;0.1237;0.0;525.0;0.8648;0.0;0.0212;0.0;0.0;62342;0.0;8204;0.7433090024;12899.0;"";"";9508.0;10024.0;12679.0;15908.0;16903.0;"";""
182670;0.0;0.0846;0.0381;0.0176;0.0693;0.376;0.0214;0.1525;0.0;0.4979;67044;51438;0.0279;0.2429;0.0;0.0;"Dartmouth College";0.0515;4230;2099.0;0.0622;0.1068;32.0;0.0891;0.0;12000.0;1441.0;16240.0;33.0;0.0;0.0;8491.5;14819.0;0.0;0.0353;0.0;51438;0.0715;0.0;44204.0;0.0026;0.0288;0.0;0.0;0.0;0.0;0.0077;18495.0;0.0;0.0455;20;725.0;0.0102;730.0;10048.0;0.0;68455;0.5240585774;32.0;0.0;5000.0;0.0;0.0;0.0;0.0409;0.0288;6000.0;27080.0;6468.0;0.8198;0.0232;0.0917;0.0;725.0;0.1059;0.0;0.0267;7847.0;0.0;102529;0.0;15009;0.7709205021;0.0;"";"";0.0;0.0;0.0;0.0;0.0;"";""
183044;0.0044;0.0301;0.0375;0.0385;0.0131;0.0624;0.002;0.0241;0.001;0.814;31168;31424;0.0013;0.665;0.0142;0.0;"University of New Hampshire-Main Campus";0.018;12653;2331.0;0.0175;0.0877;25.0;0.0965;0.058;23000.0;1101.0;0.0;25.0;0.0;0.0;25000.0;27000.0;0.1941;0.0128;0.0;17624;0.0202;0.0;0.0;0.0001;0.0078;0.0;0.0;0.0;0.0;0.0293;22250.0;0.0024;0.0729;20;540.0;0.0283;555.0;0.0;0.0547;89334;0.5576019545;25.0;0.079;11000.0;0.003;0.0;0.0;0.0175;0.0226;22875.5;0.0;0.0;0.654;0.0018;0.034;0.0;540.0;0.7586;0.0277;0.0648;0.0;0.0327;101251;0.003;11483;0.9633527532;24879.0;"";"";16750.0;18705.0;22656.0;27331.0;30004.0;"";""
186131;0.0;0.1194;0.039;0.0;0.0777;0.1882;0.0268;0.2135;0.0;0.4362;61860;45320;0.0168;0.0452;0.1079;9.0;"Princeton University";0.0384;5236;2781.0;0.0;0.2586;34.0;0.0941;0.0;7500.0;1493.0;12614.0;34.0;0.0;0.0;4170.0;7500.0;0.0;0.0612;0.0;45320;0.0666;0.0;32706.0;0.0015;0.0222;0.0;0.0;0.0;0.0;0.0056;12850.0;0.0077;0.052;19;750.0;0.0092;755.0;4557.0;0.0;37036;0.5136436597;33.0;0.0;5500.0;0.0;0.0;0.0;0.0275;0.0222;3835.0;10256.0;2705.0;0.8308;0.0013;0.0964;0.0;740.0;0.0652;0.0;0.0155;2469.0;0.0;63667;0.0;17132;0.2407704655;0.0;"";"";0.0;0.0;0.0;0.0;0.0;"";""
